name,value,year,last value,rank
Assassin's Creed III,66797,23,70089,7
Assassin's Creed IV: Black Flag,64484,23,76856,8
Call of Duty: Black Ops II,58743,23,61310,9
The Last of Us Part II,1748375,24,583647,0
Assassin's Creed Odyssey,383048,24,408540,1
The Last of Us,205530,24,143826,2
Call of Duty: Modern Warfare,114032,24,175248,3
Call of Duty: WWII,94290,24,126908,4
Doom Eternal,89604,24,#N/A,5
Assassin's Creed Origins,73338,24,76210,6
Call of Duty: Warzone,60708,24,#N/A,7
Assassin's Creed III,60478,24,66797,8
Assassin's Creed IV: Black Flag,60354,24,64484,9
The Last of Us Part II,1439561,25,1748375,0
Assassin's Creed Odyssey,333753,25,383048,1
The Last of Us,330036,25,205530,2
Cyberpunk 2077,251491,25,#N/A,3
Assassin's Creed Origins,66971,25,73338,4
Call of Duty: WWII,61520,25,94290,5
Call of Duty: Modern Warfare,60969,25,114032,6
Assassin's Creed IV: Black Flag,53750,25,60354,7
Assassin's Creed III,51867,25,60478,8
Call of Duty: Black Ops II,50219,25,#N/A,9
The Last of Us Part II,1966626,26,1439561,0
Cyberpunk 2077,1347472,26,251491,1
Assassin's Creed Odyssey,284256,26,333753,2
The Last of Us,252253,26,330036,3
Assassin's Creed Valhalla,116943,26,#N/A,4
Ghost of Tsushima,96346,26,#N/A,5
Assassin's Creed Origins,57244,26,66971,6
Call of Duty: Modern Warfare,51474,26,60969,7
Call of Duty: WWII,47830,26,61520,8
Assassin's Creed IV: Black Flag,47026,26,53750,9
The Last of Us Part II,1190811,27,1966626,0
Cyberpunk 2077,435745,27,1347472,1
Assassin's Creed Odyssey,281575,27,284256,2
The Last of Us,188807,27,252253,3
Ghost of Tsushima,101132,27,96346,4
Call of Duty: Modern Warfare,81465,27,51474,5
Hyper Scape,65584,27,#N/A,6
Assassin's Creed Origins,55928,27,57244,7
Assassin's Creed IV: Black Flag,46516,27,47026,8
Call of Duty: Black Ops II,46346,27,#N/A,9
The Last of Us Part II,1159342,28,1190811,0
Assassin's Creed Valhalla,493969,28,#N/A,1
Assassin's Creed Odyssey,282846,28,281575,2
The Last of Us,144644,28,188807,3
Cyberpunk 2077,108124,28,435745,4
Ghost of Tsushima,94549,28,101132,5
Far Cry 6,84048,28,#N/A,6
Assassin's Creed Origins,54625,28,55928,7
Call of Duty: Modern Warfare,52268,28,81465,8
Assassin's Creed III,47220,28,#N/A,9
Ghost of Tsushima,2112103,29,94549,0
The Last of Us Part II,645327,29,1159342,1
Assassin's Creed Valhalla,631047,29,493969,2
Far Cry 6,376365,29,84048,3
Assassin's Creed Odyssey,302516,29,282846,4
Watch Dogs Legion,277900,29,#N/A,5
The Last of Us,112340,29,144644,6
Assassin's Creed Origins,58510,29,54625,7
Far Cry 5,52986,29,#N/A,8
Assassin's Creed III,51025,29,47220,9
Ghost of Tsushima,1300454,30,2112103,0
The Last of Us Part II,610913,30,645327,1
Assassin's Creed Odyssey,433240,30,302516,2
Assassin's Creed Valhalla,131371,30,631047,3
Call of Duty 2020,97816,30,#N/A,4
The Last of Us,94499,30,112340,5
Assassin's Creed Origins,69343,30,58510,6
Far Cry 5,64013,30,52986,7
Call of Duty: Modern Warfare,62217,30,#N/A,8
Assassin's Creed IV: Black Flag,54231,30,#N/A,9
Ghost of Tsushima,598500,31,1300454,0
The Last of Us Part II,279971,31,610913,1
Assassin's Creed Odyssey,246936,31,433240,2
Call of Duty: Modern Warfare 2: Campaign Remastered,128601,31,#N/A,3
Call of Duty 2020,77404,31,97816,4
The Last of Us,71254,31,94499,5
Call of Duty: Modern Warfare,54678,31,62217,6
Assassin's Creed Origins,47901,31,69343,7
Assassin's Creed IV: Black Flag,43473,31,54231,8
Assassin's Creed III,38423,31,#N/A,9
