name,value,year,last value,rank
Call of Duty: Modern Warfare,1276429,23,1201947,8
Avengers: Endgame,1064374,23,1064374,9
Pokemon Sword,6486449,24,6410654,0
Star Wars Jedi: Fallen Order,5702638,24,5651978,1
Death Stranding,4960056,24,4933080,2
Star Wars: The Mandalorian,4249286,24,4030282,3
Star Wars: The Rise of Skywalker,2331539,24,2237355,4
BoJack Horseman,1842546,24,1842546,5
Batwoman,1661729,24,1655849,6
Luigi's Mansion 3,1430167,24,1388568,7
Call of Duty: Modern Warfare,1369842,24,1276429,8
Avengers: Endgame,1064374,24,1064374,9
Pokemon Sword,6578957,25,6486449,0
Star Wars Jedi: Fallen Order,5739049,25,5702638,1
Death Stranding,4978378,25,4960056,2
Star Wars: The Mandalorian,4569706,25,4249286,3
Star Wars: The Rise of Skywalker,2511584,25,2331539,4
Batwoman,1932245,25,1661729,5
BoJack Horseman,1842546,25,1842546,6
Magic: The Gathering,1567778,25,#N/A,7
Luigi's Mansion 3,1456188,25,1430167,8
Call of Duty: Modern Warfare,1418513,25,1369842,9
Pokemon Sword,6638625,26,6578957,0
Star Wars Jedi: Fallen Order,5765997,26,5739049,1
Death Stranding,4991821,26,4978378,2
Star Wars: The Mandalorian,4745266,26,4569706,3
Star Wars: The Rise of Skywalker,2734871,26,2511584,4
Batwoman,2097611,26,1932245,5
BoJack Horseman,1842546,26,1842546,6
Magic: The Gathering,1697931,26,1567778,7
Call of Duty: Modern Warfare,1503151,26,1418513,8
Luigi's Mansion 3,1483751,26,1456188,9
Pokemon Sword,6685875,27,6638625,0
Star Wars Jedi: Fallen Order,5793467,27,5765997,1
Star Wars: The Mandalorian,5033937,27,4745266,2
Death Stranding,5004714,27,4991821,3
Star Wars: The Rise of Skywalker,3065770,27,2734871,4
Batwoman,2106508,27,2097611,5
BoJack Horseman,1842546,27,1842546,6
Magic: The Gathering,1719403,27,1697931,7
Call of Duty: Modern Warfare,1544588,27,1503151,8
Luigi's Mansion 3,1510486,27,1483751,9
Pokemon Sword,6726179,28,6685875,0
Star Wars Jedi: Fallen Order,5825893,28,5793467,1
Star Wars: The Mandalorian,5124636,28,5033937,2
Death Stranding,5023800,28,5004714,3
Star Wars: The Rise of Skywalker,3471467,28,3065770,4
Batwoman,2106508,28,2106508,5
BoJack Horseman,1842546,28,1842546,6
Magic: The Gathering,1727624,28,1719403,7
Call of Duty: Modern Warfare,1567725,28,1544588,8
Luigi's Mansion 3,1536180,28,1510486,9
Pokemon Sword,6817254,29,6726179,0
Star Wars Jedi: Fallen Order,5861403,29,5825893,1
Star Wars: The Mandalorian,5544606,29,5124636,2
Death Stranding,5039036,29,5023800,3
Star Wars: The Rise of Skywalker,3600020,29,3471467,4
Batwoman,2106508,29,2106508,5
BoJack Horseman,1842546,29,1842546,6
Magic: The Gathering,1733361,29,1727624,7
Call of Duty: Modern Warfare,1590065,29,1567725,8
Luigi's Mansion 3,1564117,29,1536180,9
Pokemon Sword,,30,6817254,0
Star Wars Jedi: Fallen Order,,30,5861403,1
Star Wars: The Mandalorian,,30,5544606,2
Death Stranding,,30,5039036,3
Star Wars: The Rise of Skywalker,,30,3600020,4
Batwoman,,30,2106508,5
BoJack Horseman,,30,1842546,6
Magic: The Gathering,,30,1733361,7
Call of Duty: Modern Warfare,,30,1590065,8
Luigi's Mansion 3,,30,1564117,9
